number,title,country
50088,FITL-IE,GB
58146,SVOD-AS,RU
40135,"KITTELSON-DIGIWEST-FORTLAUDERDALE - KITTELSON AND ASSOCIATES, INC.",US
3480,PEACHNET-AS2 - Kennesaw State University,US
50351,CARDCOMPLETE-AS,AT
60141,YASENOVKA-AS,UA
11542,EYEMG - EYEMG - interactive media group,US
11543,NYS-BOE - NYS BOARD OF ELECTIONS,US
11540,RTI - Research Triangle Institute,US
11541,AIR-ADVANTAGE-ASN2 - Air Advantage LLC,US
11546,UNOMAHA-AS - University of Nebraska at Omaha,US
11547,"WORKSOFT-01 - Worksoft, Inc",US
11544,RBC1-ASN6 - Royal Bank of Canada,CA
11545,AQNT-AS - aQuantive Inc.,US
11548,HERITAGE-UNIV-AS - Heritage University,US
11549,"TWRS-TN - Towerstream I, Inc.",US
58141,IPONE,NL
556,CALREN-AS - USC/Information Sciences Institute,US
5988,DNIC-ASBLK-05800-06055 - DoD Network Information Center,US
5989,DNIC-ASBLK-05800-06055 - DoD Network Information Center,US
3483,RECKITT-MRS - Sprint International,US
19398,-Reserved AS-,ZZ
19397,ACN-DIGITAL-PHONE - ACN,US
19396,HFI - Haynes Furniture Company Inc.,US
19395,BCCC-COLLEGE-I2 - Bucks County Community College,US
19394,FORZANIGROUPLIMITED - Forzani Group Limited,CA
19393,"ROBERTS-COMMUNICATIONS-NETWORK - Roberts Communications Network, LLC",US
19392,JCOM - J2 Global Inc.,US
19391,BAJAU-CO-NM-TX - TDS TELECOM,US
19390,COMPUNET-JACKSON - Compunet,US
60148,ITO-AS,IR
60149,"NESS-AS Str. Palas 5B United Business Center 2, et 4",RO
58140,NETUITY_NOC_EMEA,PL
57481,ASMULTISOL,BY
3482,MTSTGOV - State of Montana,US
3885,"DNIC-ASBLK-03859-03897 - Headquarters, USAISC",US
53901,BWS-DR-IX-AS - Board of Water Supply,US
43051,OIAC-AS,UA
57482,SMP-AS,RU
7407,MCI-SGUM - MCIWorldcom-VANSIS,US
5533,CLARANET-PT,PT
57485,INTERPARTS,NL
57484,KIAE-TRANSIT-AS supercomputing division,RU
3485,FCMCNET - Fuji Capital Markets Corporation,US
53906,LETHSD51 - Lethbridge School District No. 51,CA
46139,METASOURCE - Metasource LLC,US
46138,"RYDLCMPLLC - Rydell Company, LLC",US
46137,IPEXPERT-INC - IPEXPERT INC.,US
46136,BECLOUD-LLC - BECLOUD LLC,US
46135,RMY-2012 - The Regional Municipality of York,CA
46134,-Reserved AS-,ZZ
46133,ASAE-ASN - American Society of Association Executives,US
2556,INTER-GRP-C - PSI,US
46131,"THEIPGUYS-AS - TheIPGuys.Net, LLC",US
46130,"POSITIVE-USA - The Positive Internet Company, Inc.",US
60377,HEINZELMANNCHEN-AS,RU
53908,"D3 - Deluxe Laboratories, Inc.",US
53909,"KIPANYAS - Kipany Productions, LTD.",US
58142,RASANE-AS Samaneh Sama Pishro Persian,IR
3484,Instituto Politecnico Nacional,MX
64779,-Private Use AS-,ZZ
8804,"REGIO-AS Bahnhofstr. 8, 36157 Ebersburg",DE
28561,"Micronet de Mexico, S.A. de C.V.",MX
54544,QB-01 - Quibids Holdings LLC,US
29940,LORETTO-MANAGEMENT-CORP - Loretto Management Corp.,US
19973,"WBS-JAN-1 - MCI Communications Services, Inc. d/b/a Verizon Business",US
19972,"AS19972 - Arris Group, Inc",US
19971,-Reserved AS-,ZZ
19970,CARRIERDOMAIN-NYC - R&R Managed Telecom Services,US
16709,"COMITYHOU - Comity Communications, LLC",US
16708,-Reserved AS-,ZZ
19975,CASCADELINK - CASCADELINK INC,US
19974,"NETCONEX - Netconex, Inc.",US
16705,LOGIC-CAYMAN-TELECAYMAN - TeleCayman,KY
16704,DATAEX-CAM1 - Data Exchange Corporation,US
16707,"UNIFI-INC - Unifi, Inc",US
16706,"ORTHONE - NORTHEAST ORTHOPAEDIC CLINIC, LLP",US
16701,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS(AFIP),AR
16700,ROSENET-1 - City of Thomasville Utilities,US
16703,ASN-CHUBBCORP - The Chubb Corporation,US
16702,"AKAMAI-AS - Akamai Technologies, Inc.",US
46704,SOFTLAYER-WDC01 - SoftLayer Technologies Inc.,US
12019,NETCOMM - Network Communications,US
12018,"OOCL-SJC - OOCL (USA), Inc.",US
12015,WOW-INTERNET - WideOpenWest Finance LLC,US
12014,AMERICAS-HEALTH-INSURANCE-PLANS - AHIP,US
12017,-Reserved AS-,ZZ
12016,RETIREMENT-HOUSING-FOUNDATION - Retirement Housing Foundation,US
12011,-Reserved AS-,ZZ
12010,IFDS - International Financial Data Services (Canada) Ltd.,CA
12013,FAUNET - Florida Atlantic University,US
12012,"NOV-NET-02 - Novani, LLC",US
17258,ATT-MOBILITY-LLC-AS17258 - AT&T Mobility LLC,US
17259,ELYNX-CORP-NET - eLynx Ltd.,US
64676,-Private Use AS-,ZZ
46707,MAGNA-HOLLAND - Magna Donnelly Corporation,US
43266,ABUA-AS,UA
